problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
5,KearnsVazirani,buchi,none,4,234,34858753,191320,34667433,0,297105137,0,4415529,28412,4387117,0,24540,0,1696,25.000000,130
5,KearnsVazirani,buchi,none,17,234,34858753,191320,34667433,0,708447999,0,4415529,28412,4387117,0,60042,0,808,25.000000,130
5,KearnsVazirani,buchi,none,23,234,34858753,191320,34667433,0,1050948013,0,4415529,28412,4387117,0,89295,0,22,25.000000,130
5,KearnsVazirani,buchi,none,34,234,34858753,191320,34667433,0,1533432225,0,4415529,28412,4387117,0,131989,0,3497,25.000000,130
5,KearnsVazirani,buchi,none,39,234,34858753,191320,34667433,0,1739287755,0,4415529,28412,4387117,0,150165,0,1260,25.000000,130
5,KearnsVazirani,buchi,none,42,234,34858753,191320,34667433,0,1822624259,0,4415529,28412,4387117,0,159859,0,7691,25.000000,130
5,KearnsVazirani,buchi,none,49,234,34858753,191320,34667433,0,2131065621,0,4415529,28412,4387117,0,189511,0,808,25.000000,130
5,KearnsVazirani,buchi,none,54,234,34858753,191320,34667433,0,2268312583,0,4415529,28412,4387117,0,201613,0,808,25.000000,130
5,KearnsVazirani,buchi,none,57,234,34858753,191320,34667433,0,2337053813,0,4415529,28412,4387117,0,207879,0,845,25.000000,130
5,KearnsVazirani,buchi,none,74,234,34858753,191320,34667433,0,3105536467,0,4415529,28412,4387117,0,276073,0,7691,25.000000,130
5,KearnsVazirani,buchi,none,90,234,34858753,191320,34667433,0,3790653479,0,4415529,28412,4387117,0,334975,0,808,25.000000,130
